list all environments and locations,``conda info --envs``
list all packages + source channels,``conda list --name ENVNAME --show-channel-urls``
install packages in environment,``conda install --name ENVNAME PKGNAME1 PKGNAME2``
remove package from environment,``conda uninstall --name ENVNAME PKGNAME``
update all packages in environment,``conda update --all --name ENVNAME``
